Training started at 2025-03-06 21:01:19.801031
Epoch	Train Loss	Test Loss	MSE	RMSE	MAE	R2	Best R2
1500	0.7650	0.6556	21.8141	4.6706	1.7031	0.7911	4.6706
1500	0.7650	0.6556	21.8141	4.6706	1.7031	0.7911	4.6706
3000	0.8540	0.6707	23.3553	4.8327	1.7376	0.7763	4.6706
3000	0.8540	0.6707	23.3553	4.8327	1.7376	0.7763	4.6706
4500	0.7449	0.6393	20.5156	4.5294	1.6705	0.8034	4.5294
4500	0.7449	0.6393	20.5156	4.5294	1.6705	0.8034	4.5294
6000	1.0320	0.6399	22.3679	4.7295	1.6732	0.7856	4.5294
6000	1.0320	0.6399	22.3679	4.7295	1.6732	0.7856	4.5294
7500	0.8762	0.6855	24.6839	4.9683	1.7677	0.7638	4.5294
7500	0.8762	0.6855	24.6839	4.9683	1.7677	0.7638	4.5294
9000	0.6901	0.6414	21.4408	4.6304	1.6752	0.7944	4.5294
9000	0.6901	0.6414	21.4408	4.6304	1.6752	0.7944	4.5294
10500	0.7752	0.6446	21.3869	4.6246	1.6856	0.7954	4.5294
10500	0.7752	0.6446	21.3869	4.6246	1.6856	0.7954	4.5294
12000	0.6984	0.6337	19.0650	4.3664	1.6637	0.8172	4.3664
12000	0.6984	0.6337	19.0650	4.3664	1.6637	0.8172	4.3664
13500	0.8225	0.6506	18.3165	4.2798	1.6986	0.8244	4.2798
13500	0.8225	0.6506	18.3165	4.2798	1.6986	0.8244	4.2798
15000	0.6486	0.6344	19.0896	4.3692	1.6583	0.8172	4.2798
15000	0.6486	0.6344	19.0896	4.3692	1.6583	0.8172	4.2798
16500	0.7466	0.6714	18.8100	4.3371	1.7407	0.8200	4.2798
16500	0.7466	0.6714	18.8100	4.3371	1.7407	0.8200	4.2798
18000	0.6048	0.6456	18.2473	4.2717	1.6870	0.8251	4.2717
18000	0.6048	0.6456	18.2473	4.2717	1.6870	0.8251	4.2717
19500	0.7019	0.6507	17.4511	4.1774	1.6968	0.8327	4.1774
